id,source,district,price,size_sqm,bedrooms,property_type,latitude,longitude,first_seen,last_seen,transaction_type,rent_frequency,bathrooms,furnishing,building_name,community,subcommunity,developer,floor,total_floors,parking_spaces,completion_status,year_built,service_charge_aed,amenities,listing_url,agent_name,agency_name,photos_count,title,description_short,verified_flag,scraped_at,price_per_sqm,days_on_market,missing_size_flag,raw_usage,raw_property_type,raw_property_subtype,annual_amount_aed,contract_amount_aed,start_date,end_date
DubaiPulse_DLD_sale_1-11-2007-200264,DubaiPulse_DLD,Marina,784463.0,135.35,0,Apartment,,,2007-08-23,2007-08-23,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.964204+00:00,5795.810860731437,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2020-10910,DubaiPulse_DLD,Marina,4800000.0,449.1,0,Apartment,,,2020-11-19,2020-11-19,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.964297+00:00,10688.042752171008,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2013-29594,DubaiPulse_DLD,Marina,2600000.0,201.93,0,Apartment,,,2013-09-30,2013-09-30,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.964389+00:00,12875.749021938294,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2007-201003,DubaiPulse_DLD,Marina,922983.0,159.25,0,Apartment,,,2007-10-04,2007-10-04,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.964554+00:00,5795.811616954474,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2007-200858,DubaiPulse_DLD,Marina,760001.0,131.13,0,Apartment,,,2007-10-01,2007-10-01,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.964650+00:00,5795.782810950965,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2011-11711,DubaiPulse_DLD,Marina,600000.0,78.29,0,Apartment,,,2011-07-18,2011-07-18,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.964744+00:00,7663.814024779665,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2007-200271,DubaiPulse_DLD,Marina,1170343.0,201.93,0,Apartment,,,2007-08-27,2007-08-27,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.964983+00:00,5795.785668300896,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2007-200766,DubaiPulse_DLD,Marina,394113.0,68.0,0,Apartment,,,2007-10-01,2007-10-01,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.965077+00:00,5795.779411764706,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2022-11658,DubaiPulse_DLD,Marina,805000.0,83.59,0,Apartment,,,2022-05-30,2022-05-30,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.965171+00:00,9630.33855724369,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2023-17290,DubaiPulse_DLD,Marina,1925000.0,135.35,0,Apartment,,,2023-06-07,2023-06-07,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.965352+00:00,14222.386405615072,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2021-10906,DubaiPulse_DLD,Marina,1270000.0,125.14,0,Apartment,,,2021-06-24,2021-06-24,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.965519+00:00,10148.6335304459,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2007-200929,DubaiPulse_DLD,Marina,406169.0,70.08,0,Apartment,,,2007-10-04,2007-10-04,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.965614+00:00,5795.790525114156,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2008-208300,DubaiPulse_DLD,Marina,1300000.0,69.67,0,Apartment,,,2008-11-03,2008-11-03,sale,,,,MARINA CROWN TOWER,Marsa Dubai,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.965708+00:00,18659.394287354673,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2013-12852,DubaiPulse_DLD,Marina,1084000.0,107.1,0,Apartment,,,2013-05-21,2013-05-21,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.965807+00:00,10121.381886087769,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-41-2013-3537,DubaiPulse_DLD,Marina,1050000.0,107.1,0,Apartment,,,2013-10-28,2013-10-28,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.965904+00:00,9803.921568627451,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-41-2013-669,DubaiPulse_DLD,Marina,685899.0,65.84,0,Apartment,,,2013-05-21,2013-05-21,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.966002+00:00,10417.664034021871,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2013-36845,DubaiPulse_DLD,Marina,1300000.0,120.27,0,Apartment,,,2013-12-30,2013-12-30,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.966169+00:00,10809.013053961919,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-41-2013-563,DubaiPulse_DLD,Marina,724250.0,65.82,0,Apartment,,,2013-05-16,2013-05-16,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.966261+00:00,11003.494378608328,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2013-11517,DubaiPulse_DLD,Marina,858061.0,78.98,0,Apartment,,,2013-05-13,2013-05-13,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.966435+00:00,10864.28209673335,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-41-2013-275,DubaiPulse_DLD,Marina,1050000.0,99.57,0,Apartment,,,2013-04-10,2013-04-10,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.966529+00:00,10545.344983428744,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-41-2013-226,DubaiPulse_DLD,Marina,1174346.0,94.63,0,Apartment,,,2013-04-08,2013-04-08,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.966691+00:00,12409.8700200782,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-102-2015-7863,DubaiPulse_DLD,Marina,566127.0,36.68,0,Apartment,,,2015-06-24,2015-06-24,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.966856+00:00,15434.214830970557,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-102-2023-46666,DubaiPulse_DLD,Marina,515000.0,57.44,0,Apartment,,,2023-09-12,2023-09-12,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.966951+00:00,8965.877437325906,,False,Residential,Unit,Flat,,,,
